num	name	element	str3	utc	tc	journal
103854		C1Mo0.2Ta0.8	NaCl	K	7.5	PRENUM PRESS 1973
111447	LuNiBC	Lu1Ni1B1C1		K	2.9	Phys.Rev.B,50 (1994) 9445-9448
7014	Bi2Sr2Ca(Cu,Co)2Oz	Bi2Sr2Ca1Cu1.99Co0.01Oz	Bi2212	K	58.9	Phys.Rev.B,54(1996)86
34717	(Ca,Na)2CuO2Br2	Ca1.825Na0.175Cu1Br2O2	T	K	10.5	Physica C, 419(2005)32
3749	(Y,Cd)Ba2Cu3O7	Y0.7Cd0.3Ba2Cu3O7	Y123	K	92.8	Solid State Commun.,69(1989)1079-1083
40080	TaSi2	Si2Ta1		K	0.345	Phys.Rev.B, 45(1992)4803
131514	Zr2Rh	Rh1Zr2	CuAl2	K	11.2	J.Alloys and Compound, 206(1994)47
40623	(Zr,Hf)V2	Zr0.87Hf0.13V2	MgCu2(Laves)	K	9.45	Appl.Phys.Lett., 18(1971)235
33642	(Hg,Cr)Sr2(Cu,Zn)O4	Hg0.7Cr0.3Sr2Cu0.97Zn0.03O4+z	Hg1201	K	57.0	J.Phys.Chem.Solids, 63(2002)1815
7138	CuSr2YCu2Oz	Sr2Y1Cu3O7.95	Cu1212	K	62.0	J.Appl.Phys.Lett.35(1996)L12
158304	LaxRh4P12	La0.75Rh4P12	skutterudite	K	8.71	Acta Materialia, 166(2019)543
33257	Hg2Ba2(Y,Ca)Cu2O8	Hg1.5Pb0.5Ba2Y0.5Ca0.5Cu2O8-z	Hg2212	K	84.0	Physica C, 366(2002)147
104441		Ta25Ti75		K	6.0	PRENUM PRESS 1973
40717	(Bi,Pb)2Sr2(Ca,Sm)2Cu3Oz	Bi1.6Pb0.4Sr2Ca2.5Sm0.5Cu3Oz	Bi2212	K	53.0	Physica C, 442(2006)101
3607	YSr2(Cu,Ti)3O7	Y1Sr2Cu2.7Ti0.3O6.7	Y123	K	26.0	PHYSICA C,196(1992)141
6133	(Gd,Pr,Ca)Ba2Cu3O7	Gd0.65Pr0.2Ca0.15Ba2Cu3Oz	Y123	K	62.5	Physica.C,256(1996)161-167
153587	Eu0.5K0.5(Fe1-xNix)2As2	Eu0.5K0.5Fe1.94Ni0.06As2	ThCr2Si2	K	23.0	Phys.Rev.B, 85(2012)144513
150606	(Mg,Zn)CyNi3	Mg0.9Zn0.1C0.98Ni3	CaTiO3	K	4.5	J.Phys.Chem.Solids, 68(2007)2178
10278	DyBa2(Cu,Ga)O7-y	Dy1Ba2Cu2.95Ga0.05O6.69	Y123	K	83.0	Phys.Rev.B, 50(1994)1223
131231	HfRe2	Hf1Re2	MgZn2(Laves)	K	5.2	J.Less-Common Met., 22(1970)246
90189	(BiS)x(TaS2)2	Bi1.08S5.08Ta2		K	2.7	J.Phys.Soc.Jpn, 74(2005)851
6151	HgBa2Ca4Cu5O12	Hg1Ba2Ca4Cu5O12+z	Hg1245	K	100.0	Physica.C, 256(1996)1-7
33135	YBa2(Cu,Mn)3O7	Y1Ba2Cu2.85Mn0.15O7-z	Y123	K	89.37	Supercond.Sci.Technol., 14(2001)429
152859	(Ce,La)CoIn5	Ce0.875La0.125Co1In5	HoCoGa5	K	0.86	Phys.Rev.B, 66(2002)054534
2943	(Bi,Pb)2(Sr,Nd)2(Ca,Nd)Cu2O8	Bi1.6Pb0.4Sr2Ca0.8Nd0.2Cu2O8.16	Bi2212	K	87.0	PHYSICA C,176(1991)445
7726	(Bi,Pb)2(Sr,La)2CuOz	Bi1.8Pb0.2Sr1.65La0.35Cu1Oz	Bi2201	K	30.9	J.Phys.;Cond.Matter9(1997)5137-5144
18602	(La,Sr)2CuO4	La1.85Sr0.15Cu1O4	T	K	42.0	Phys.Rev.B,57(1998)R611
153599	ZrPd2Al	Zr1Pd2In1	Heusler	K	2.19	Phys.Rev.B, 85(2012)174505
8007	Cu(Ba,Sr)2(Yb,Ca)Cu2O6	Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.14	Cu1212	K	46.0	Physica.C,300(1998)17-25
101240	Ga1Nb3	Ga1Nb3	Cr3Si(A15)	K	20.3	J.LOW TEMP.PHYS.,18(1975)147
1232		Ba1Y0.67La0.33Cu1.8Li0.2OX		K	90.0	PHYS.STAT.SOL.A,103(1987)K113
156945	LixMyFe2(Se,Te)2	Li0.45M0.3Fe2Se0.8Te1.2		K	16.5	Phys.Rev.B, 90(2014)214508
34151	RuSr2(Gd,Y)Cu2O8	Ru1Sr2Gd0.9Y0.1Cu2O8	Ru1212	K	32.2	Phys.Rev.B, 68(2003)64514
153880	Ca10(Pt4As8)(FeAs)10	Ca10Pt4Fe10As18		K	38.0	Phys.Rev.B, 86(2012)060516
707	YBa2Cu3O7	Y1Ba2Cu3O6.9	Y123	K	90.6	SOLID STATE COMMUN.,70(1989)561
155439	Na0.65Fe1.93(Se,S)2	Na0.65Fe1.93Se1.6S0.4	ThCr2Si2	K	32.0	Nat.Commun., 5(2014)4756
100620	Bi0.343In0.657	Bi0.343In0.657		K	5.55	PHYS.LETT.A,27(1968)116
2809	(Bi,Pb)2Sr2Ca2Cu3O10	Bi1.65Pb0.35Sr2Ca2Cu3O10+Z	Bi2223	K	93.0	PHYS.REV.B,43(1991)13102
40839	V1-xGax	Ga0.25V0.75	Cr3Si(A15)	K	15.3	Solid State Commun., 39(1981)773
103125	Nb0.63Ir0.37	Ir0.37Nb0.63		K	2.4	PRENUM PRESS 1973
4686	(Y,Pr)2Ba4Cu7O14	Y1.8Pr0.2Ba4Cu7O15-z	Y247	K	64.3	Physica C, 227(1994)254-258
11929	(Lu,Pr)(Ba,Sr)2Cu3O7-d	Lu0.85Pr0.15Ba1.7Sr0.3Cu3O6.91		K	77.0	Phys.Rev.B,52(1995)10504
336		Bi1Ca1Sr1Cu2Oz	Y123	K	75.0	SOLID STATE COMMUN.,66(1988)393
8744	(La,Y)3CaBa3(Cu,Fe)7Oz	La2.5Y0.5Ca1Ba3Cu7Fe7O16.574	3137	K	80.0	Physica C,313(1999)41-48
156635	NaFe1-xCoxAs	Na1Fe0.977Co0.023As1	PbFCl	K	15.7	Phys.Rev.B, 94(2016)014509
158303	LaxRh4P12	La0.69Rh4P12	skutterudite	K	8.07	Acta Materialia, 166(2019)543
109699	K3C60	C60K3	fullerene	K	18.0	Nature.35(1991)600
101599	Ir1Zr2	Ir1Zr2	CuAl2	K	7.23	J.LOW TEMP.PHYS.,4(1971)489
2158	YBa2Cu3O7	Y1Ba2Cu3O6.45	Y123	K	52.5	PHYS.LETT.A,131(1988)203
100014	Ag7F0.25N0.75O10.25	Ag7F0.25N0.75O10.25		K	1.04	J.AMER.CHEM.SOC.,89(1967)7121
